,M,So,Ed,Po1,Po2,LF,M.F,Pop,NW,U1,U2,Wealth,Ineq,Prob,Time,Crime
0,0.5517241379310345,1.0,0.1142857142857144,0.1074380165289256,0.12931034482758622,0.1863354037267082,0.11678832116788289,0.18181818181818182,0.7102137767220904,0.5277777777777778,0.5526315789473684,0.26433915211970077,0.9,0.6882129951108906,0.44028766571910144,0.2719563900666263
1,0.413793103448276,0.0,0.7428571428571432,0.4793388429752066,0.4655172413793104,0.6397515527950308,0.569343065693431,0.06060606060606061,0.23752969121140147,0.36111111111111116,0.4210526315789474,0.6708229426433915,0.4533333333333332,0.20104690710692272,0.41194875600613823,0.7831617201695942
2,0.39655172413793094,1.0,0.057142857142857446,0.0,0.025862068965517303,0.32919254658385116,0.2554744525547447,0.09090909090909091,0.5154394299287411,0.3333333333333333,0.3421052631578947,0.07481296758104738,0.8266666666666665,0.6775756394813294,0.38052501823853485,0.14294367050272563
3,0.293103448275862,0.0,0.9714285714285715,0.8595041322314049,0.8620689655172414,0.6024844720496891,0.4379562043795624,0.9333333333333333,0.18527315914489315,0.44444444444444436,0.5,0.9600997506234414,0.27333333333333326,0.07883688797562531,0.5566400845261754,0.9854633555420957
4,0.37931034482758613,0.0,0.9714285714285715,0.5289256198347108,0.5172413793103449,0.6894409937888196,0.3722627737226276,0.09090909090909091,0.0665083135391924,0.29166666666666663,0.0,0.7231920199501247,0.3199999999999999,0.305560476156735,0.2861626122613268,0.5402786190187765
5,0.03448275862068954,0.0,0.6571428571428574,0.6033057851239669,0.6379310344827587,0.41614906832298165,0.2189781021897812,0.13333333333333333,0.09976247030878861,0.19444444444444448,0.23684210526315788,1.0,0.0,0.2418071990363495,0.27671945359865163,0.2059357964869776
6,0.13793103448275845,1.0,0.6857142857142858,0.3057851239669421,0.32758620689655177,0.24223602484472068,0.3503649635036497,0.006060606060606061,0.32541567695962004,0.37500000000000006,0.47368421052631576,0.827930174563591,0.28,0.3117692907248636,0.26727943951095573,0.37613567534827375
7,0.20689655172413784,1.0,0.6285714285714289,0.5785123966942148,0.5862068965517242,0.38509316770186364,0.2554744525547447,0.28484848484848485,0.42042755344418054,0.12499999999999996,0.39473684210526316,0.45885286783042395,0.5333333333333334,0.29404626939700995,0.38990214082664587,0.7347062386432465
8,0.6551724137931034,1.0,0.08571428571428592,0.16528925619834708,0.18103448275862075,0.4534161490683233,0.15328467153284642,0.21818181818181817,0.6745843230403802,0.15277777777777776,0.21052631578947364,0.3316708229426434,0.7533333333333332,0.5739123503153121,0.5408826193051747,0.3113264688067838
9,0.3620689655172414,0.0,0.8857142857142861,0.2148760330578512,0.2327586206896552,0.9440993788819876,0.6934306569343072,0.024242424242424242,0.03087885985748219,0.41666666666666674,0.10526315789473682,0.5935162094763092,0.3199999999999999,0.333008573655495,0.23269225931423107,0.21986674742580253
10,0.08620689655172416,0.0,0.5142857142857145,0.6280991735537189,0.646551724137931,0.62111801242236,0.23357664233576578,0.593939393939394,0.24703087885985753,0.09722222222222214,0.39473684210526316,0.9201995012468828,0.29333333333333333,0.08237972082477149,0.9245176221981838,0.8067837674136886
11,0.2586206896551725,0.0,0.6000000000000004,0.24793388429752064,0.25862068965517243,0.7142857142857141,0.2773722627737227,0.26666666666666666,0.13539192399049885,0.18055555555555558,0.2894736842105263,0.7281795511221946,0.3066666666666666,0.21523595266775314,0.694913335513572,0.30708661417322836
12,0.15517241379310354,0.0,0.7428571428571432,0.18181818181818182,0.16379310344827588,0.8944099378881987,0.2773722627737227,0.15151515151515152,0.01900237529691212,0.09722222222222214,0.13157894736842105,0.5461346633416458,0.5333333333333334,0.3401296676822788,0.7578331362733014,0.10236220472440945
13,0.27586206896551724,0.0,0.8571428571428571,0.14049586776859505,0.1724137931034483,0.7142857142857141,0.3795620437956199,0.11515151515151516,0.10451306413301663,0.09722222222222214,0.18421052631578952,0.600997506234414,0.42666666666666664,0.41008290228867,0.29248949711956934,0.19503331314354935
14,0.5689655172413792,1.0,0.0,0.09917355371900827,0.10344827586206898,0.3105590062111803,0.3795620437956199,0.16363636363636364,0.16627078384798102,0.3055555555555555,0.6052631578947368,0.29177057356608477,0.9199999999999998,0.5509105080422305,0.33021810772056054,0.2761962447001817
15,0.39655172413793094,1.0,0.028571428571428976,0.29752066115702475,0.31034482758620696,0.10559006211180132,0.16058394160583872,0.18181818181818182,0.7577197149643707,0.6388888888888891,0.7105263157894738,0.34663341645885287,0.8066666666666665,0.4003312548713952,0.4370801992402707,0.3658388855239249
16,0.413793103448276,0.0,0.6571428571428574,0.1735537190082644,0.18965517241379312,0.35403726708074557,0.3138686131386862,0.04242424242424243,0.009501187648456057,0.6111111111111113,0.39473684210526316,0.49625935162094764,0.2666666666666668,0.6146726422447389,0.21699454101783605,0.11932162325863113
17,0.27586206896551724,1.0,0.48571428571428604,0.6446280991735537,0.6379310344827587,0.35403726708074557,0.3211678832116785,0.1696969696969697,0.39904988123515445,0.2638888888888888,0.3684210526315789,0.8553615960099751,0.26,1.0,0.18867449875474832,0.355542095699576
18,0.18965517241379307,0.0,0.8285714285714286,0.6859504132231404,0.7500000000000001,0.34782608695652195,0.0,0.2909090909090909,0.052256532066508314,0.11111111111111105,0.3684210526315789,0.8453865336658354,0.06000000000000002,0.10804754481683557,0.39939875726396823,0.2471229557843731
19,0.10344827586206892,0.0,0.6000000000000004,0.5619834710743802,0.5517241379310345,0.5403726708074531,0.3722627737226276,0.45454545454545453,0.21852731591448937,0.8333333333333335,1.0,0.8428927680798005,0.2666666666666668,0.24712144831006874,0.44657367110261376,0.5348273773470624
20,0.12068965517241369,0.0,0.6000000000000004,0.2396694214876033,0.22413793103448282,0.7577639751552794,0.3649635036496353,0.18787878787878787,0.023752969121140145,0.44444444444444436,0.3421052631578947,0.6708229426433915,0.45999999999999996,0.14082760575356057,0.798728333878393,0.24227740763173833
21,0.6551724137931034,1.0,0.057142857142857446,0.016528925619834725,0.025862068965517303,0.1987577639751554,0.2043795620437956,0.11515151515151516,1.0,0.37500000000000006,0.3684210526315789,0.0,1.0,0.7316126975129313,0.7829928806822471,0.05875227135069655
22,0.22413793103448262,0.0,0.25714285714285723,0.3471074380165288,0.3620689655172415,0.5217391304347823,0.1386861313868608,0.24242424242424243,0.2137767220902613,0.18055555555555558,0.31578947368421056,0.5610972568578554,0.6733333333333332,0.21079855452419757,0.4087727352770999,0.5293761356753482
23,0.20689655172413784,0.0,0.8285714285714286,0.2727272727272727,0.27586206896551724,0.5838509316770183,0.7591240875912408,0.024242424242424242,0.08076009501187649,1.0,0.5789473684210527,0.628428927680798,0.3333333333333334,0.3073230354991852,0.1698196271791905,0.3791641429436705
24,0.18965517241379307,0.0,0.8285714285714286,0.14876033057851237,0.13793103448275867,1.0,0.3649635036496353,0.06666666666666667,0.057007125890736345,0.0,0.026315789473684237,0.4937655860349127,0.46666666666666673,0.5517696450081485,0.3050457850116979,0.1096305269533616
25,0.20689655172413784,0.0,0.9714285714285715,0.9504132231404958,0.8793103448275863,0.937888198757764,1.0,0.0,0.17814726840855108,0.44444444444444436,0.5526315789473684,0.9625935162094763,0.17333333333333328,0.30820874371147167,0.3113412241201479,1.0
26,0.27586206896551724,0.0,0.6285714285714289,0.19834710743801653,0.25862068965517243,0.3726708074534164,0.2262773722627735,0.01818181818181818,0.00475059382422803,0.13888888888888887,0.052631578947368474,0.6882793017456359,0.0866666666666667,0.25861794090554807,0.512575155342004,0.0
27,0.5689655172413792,0.0,0.7142857142857143,0.3057851239669421,0.3017241379310345,0.5652173913043476,0.6131386861313868,0.04242424242424243,0.18289786223277912,0.45833333333333326,0.21052631578947364,0.6209476309226932,0.5933333333333333,0.2772355275278112,0.42769364292722195,0.5293761356753482
28,0.0,0.0,0.5714285714285714,1.0,1.0,0.2546583850931679,0.029197080291970205,1.0,0.2066508313539193,0.3055555555555555,0.4210526315789474,0.8703241895261845,0.1866666666666667,0.14614185502727983,0.7704617493899524,0.42459115687462146
29,0.8103448275862072,1.0,0.057142857142857446,0.1074380165289256,0.11206896551724145,0.2546583850931679,0.2846715328467149,0.2606060606060606,0.5985748218527317,0.027777777777777617,0.15789473684210528,0.26932668329177056,0.7399999999999999,0.6058067030397506,0.5063237402832633,0.21441550575408844
30,0.3620689655172414,0.0,0.17142857142857185,0.08264462809917354,0.11206896551724145,0.3416149068322984,0.81021897810219,0.01818181818181818,0.04275534441805226,0.902777777777778,0.5263157894736842,0.4114713216957606,0.4933333333333333,0.31087472543045425,0.3018854871575558,0.01877649909145972
31,0.10344827586206892,0.0,0.6285714285714289,0.371900826446281,0.3448275862068966,0.6583850931677017,0.2189781021897812,0.5696969696969697,0.19002375296912113,0.4861111111111111,0.6052631578947368,0.8204488778054863,0.2466666666666667,0.3170658258343371,0.588092123468592,0.24954572986069049
32,0.4827586206896551,1.0,0.48571428571428604,0.14876033057851237,0.19827586206896558,0.4968944099378885,0.2773722627737227,0.12121212121212122,0.22090261282660337,0.08333333333333323,0.10526315789473682,0.4339152119700748,0.7133333333333334,0.37730284135194503,0.4182567734145053,0.4421562689279225
33,0.12068965517241369,0.0,0.8857142857142861,0.4297520661157024,0.48275862068965514,0.38509316770186364,0.4087591240875912,0.09090909090909091,0.04513064133016628,0.44444444444444436,0.39473684210526316,0.7506234413965087,0.2666666666666668,0.30024622688301567,0.29873776760333076,0.35190793458509995
34,0.06896551724137938,0.0,0.42857142857142855,0.4297520661157024,0.396551724137931,0.2857142857142859,0.10218978102189727,0.6666666666666666,0.17577197149643706,0.7500000000000001,0.7894736842105263,0.7082294264339152,0.21333333333333337,0.12222773329554312,0.7924800633946316,0.18837068443367655
35,0.5344827586206897,0.0,0.3714285714285716,0.5289256198347108,0.4913793103448277,0.31677018633540394,0.2189781021897812,0.03636363636363636,0.052256532066508314,0.236111111111111,0.47368421052631576,0.6758104738154613,0.18000000000000005,0.0,1.0,0.5632949727437916
36,1.0,1.0,0.0,0.1074380165289256,0.12931034482758622,0.9813664596273292,0.2919708029197083,0.12727272727272726,0.8242280285035629,0.08333333333333323,0.21052631578947364,0.2344139650872818,0.8533333333333332,0.33920853114150074,0.6131889763779528,0.2961841308298001
37,0.24137931034482768,0.0,0.48571428571428604,0.0495867768595041,0.05172413793103453,0.7391304347826085,0.6569343065693436,0.024242424242424242,0.09026128266033255,0.40277777777777785,0.18421052631578952,0.341645885286783,0.6599999999999999,0.41715085382271666,0.14151530779099894,0.13567534827377348
38,0.517241379310345,1.0,0.028571428571428976,0.13223140495867763,0.11206896551724145,0.21739130434782625,0.1386861313868608,0.2,0.3871733966745844,0.2222222222222221,0.39473684210526316,0.26683291770573564,0.8333333333333334,0.356045844257068,0.47485597846595057,0.2931556632344034
39,0.4482758620689655,1.0,0.48571428571428604,0.3057851239669421,0.2844827586206897,0.4968944099378885,0.3430656934306564,0.5636363636363636,0.2945368171021378,0.24999999999999992,0.2894736842105263,0.49875311720698257,0.6799999999999999,0.28254977680153054,0.5377474780508666,0.4900060569351908
40,0.5000000000000001,0.0,1.0,0.22314049586776857,0.21551724137931036,0.7515527950310558,0.4671532846715326,0.03636363636363636,0.040380047505938245,0.19444444444444448,0.0,0.7531172069825436,0.12000000000000004,0.16119889463615109,0.5597500691806495,0.3258631132646881
41,0.37931034482758613,0.0,0.6285714285714289,0.09090909090909087,0.11206896551724145,0.2670807453416151,0.2481751824817514,0.006060606060606061,0.0,0.513888888888889,0.44736842105263164,0.5012468827930174,0.29333333333333333,0.7263161624034578,0.0,0.12113870381586916
42,0.7413793103448275,1.0,0.34285714285714314,0.24793388429752064,0.25000000000000006,0.26086956521739146,0.452554744525547,0.22424242424242424,0.489311163895487,0.04166666666666652,0.18421052631578952,0.5187032418952618,0.6533333333333332,0.42515765606178707,0.6226038338658146,0.29133858267716534
43,0.293103448275862,0.0,0.9714285714285715,0.4132231404958677,0.47413793103448276,0.5838509316770183,0.569343065693431,0.15757575757575756,0.08076009501187649,0.5694444444444445,0.44736842105263164,0.8329177057356608,0.23999999999999994,0.18777014100474743,0.5597500691806495,0.4167171411265899
44,0.34482758620689663,1.0,0.028571428571428976,0.008264462809917324,0.0,0.0,0.2481751824817514,0.09696969696969697,0.1116389548693587,0.902777777777778,0.868421052631579,0.42144638403990026,0.8199999999999998,0.4366718628215121,0.6414932957661443,0.06844336765596608
45,0.12068965517241369,0.0,0.48571428571428604,0.5041322314049586,0.48275862068965514,0.7391304347826085,0.4014598540145989,0.22424242424242424,0.052256532066508314,0.11111111111111105,0.13157894736842105,0.7605985037406484,0.3000000000000001,0.3516084461135124,0.14151530779099894,0.10054512416717142
46,0.18965517241379307,0.0,0.9714285714285715,0.371900826446281,0.4310344827586207,0.888198757763975,0.8394160583941613,0.0,0.04750593824228029,0.5972222222222223,0.5263157894736842,0.7481296758104738,0.22666666666666666,0.4065577836037696,0.1226415687655656,0.30708661417322836
